Organ_system	Subcategory	ICD10Code	ICD10Description
cancer		M36.0	Dermato(poly)myositis in neoplastic disease
cancer		M36.1	Arthropathy in neoplastic disease
cancer		M84.50XA	Pathological fracture in neoplastic disease, unspecified site, initial encounter for fracture
cancer		M84.511A	Pathological fracture in neoplastic disease, right shoulder, initial encounter for fracture
cancer		M84.512A	Pathological fracture in neoplastic disease, left shoulder, initial encounter for fracture
cancer		M84.519A	Pathological fracture in neoplastic disease, unspecified shoulder, initial encounter for fracture
cancer		M84.521A	Pathological fracture in neoplastic disease, right humerus, initial encounter for fracture
cancer		M84.522A	Pathological fracture in neoplastic disease, left humerus, initial encounter for fracture
cancer		M84.529A	Pathological fracture in neoplastic disease, unspecified humerus, initial encounter for fracture
cancer		M84.531A	Pathological fracture in neoplastic disease, right ulna, initial encounter for fracture
cancer		M84.532A	Pathological fracture in neoplastic disease, left ulna, initial encounter for fracture
cancer		M84.533A	Pathological fracture in neoplastic disease, right radius, initial encounter for fracture
cancer		M84.534A	Pathological fracture in neoplastic disease, left radius, initial encounter for fracture
cancer		M84.539A	Pathological fracture in neoplastic disease, unspecified ulna and radius, initial encounter for fracture
cancer		M84.541A	Pathological fracture in neoplastic disease, right hand, initial encounter for fracture
cancer		M84.542A	Pathological fracture in neoplastic disease, left hand, initial encounter for fracture
cancer		M84.549A	Pathological fracture in neoplastic disease, unspecified hand, initial encounter for fracture
cancer		M84.550A	Pathological fracture in neoplastic disease, pelvis, initial encounter for fracture
cancer		M84.551A	Pathological fracture in neoplastic disease, right femur, initial encounter for fracture
cancer		M84.552A	Pathological fracture in neoplastic disease, left femur, initial encounter for fracture
cancer		M84.553A	Pathological fracture in neoplastic disease, unspecified femur, initial encounter for fracture
cancer		M84.559A	Pathological fracture in neoplastic disease, hip, unspecified, initial encounter for fracture
cancer		M84.561A	Pathological fracture in neoplastic disease, right tibia, initial encounter for fracture
cancer		M84.562A	Pathological fracture in neoplastic disease, left tibia, initial encounter for fracture
cancer		M84.563A	Pathological fracture in neoplastic disease, right fibula, initial encounter for fracture
cancer		M84.564A	Pathological fracture in neoplastic disease, left fibula, initial encounter for fracture
cancer		M84.569A	Pathological fracture in neoplastic disease, unspecified tibia and fibula, initial encounter for fracture
cancer		M84.571A	Pathological fracture in neoplastic disease, right ankle, initial encounter for fracture
cancer		M84.572A	Pathological fracture in neoplastic disease, left ankle, initial encounter for fracture
cancer		M84.573A	Pathological fracture in neoplastic disease, unspecified ankle, initial encounter for fracture
cancer		M84.574A	Pathological fracture in neoplastic disease, right foot, initial encounter for fracture
cancer		M84.58XA	Pathological fracture in neoplastic disease, other specified site, initial encounter for fracture
cancer		N52.36	Erectile dysfunction following interstitial seed therapy
cancer		R18.0	Malignant ascites
cancer		R53.0	Neoplastic (malignant) related fatigue
cancer		T80.810A	Extravasation of vesicant antineoplastic chemotherapy, initial encounter
cancer		T80.810D	Extravasation of vesicant antineoplastic chemotherapy, subsequent encounter
cancer		T80.810S	Extravasation of vesicant antineoplastic chemotherapy, sequela
cardiac	ACS	I20.0	Unstable angina
cardiac	ACS	I21.01	ST elevation (STEMI) myocardial infarction involving left main coronary artery
cardiac	ACS	I21.02	ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
cardiac	ACS	I21.09	ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
cardiac	ACS	I21.11	ST elevation (STEMI) myocardial infarction involving right coronary artery
cardiac	ACS	I21.19	ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
cardiac	ACS	I21.21	ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
cardiac	ACS	I21.29	ST elevation (STEMI) myocardial infarction involving other sites
cardiac	ACS	I21.3	ST elevation (STEMI) myocardial infarction of unspecified site
cardiac	ACS	I21.4	Non-ST elevation (NSTEMI) myocardial infarction
cardiac	ACS	I21.9	Acute myocardial infarction, unspecified
cardiac	ACS	I21.A1	Myocardial infarction type 2
cardiac	ACS	I21.A9	Other myocardial infarction type
cardiac	ACS	I22.0	Subsequent ST elevation (STEMI) myocardial infarction of anterior wall
cardiac	ACS	I22.1	Subsequent ST elevation (STEMI) myocardial infarction of inferior wall
cardiac	ACS	I22.2	Subsequent non-ST elevation (NSTEMI) myocardial infarction
cardiac	ACS	I22.8	Subsequent ST elevation (STEMI) myocardial infarction of other sites
cardiac	ACS	I22.9	Subsequent ST elevation (STEMI) myocardial infarction of unspecified site
cardiac	ACS	I24.0	Acute coronary thrombosis not resulting in myocardial infarction
cardiac	ACS	I24.8	Other forms of acute ischemic heart disease
cardiac	ACS	I24.9	Acute ischemic heart disease, unspecified
cardiac	ACS	I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris
cardiac	ACS	I25.110	Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
cardiac	ACS	I25.700	Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris
cardiac	ACS	I25.710	Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
cardiac	ACS	I25.720	Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris
cardiac	ACS	I25.730	Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris
cardiac	ACS	I25.750	Atherosclerosis of native coronary artery of transplanted heart with unstable angina
cardiac	ACS	I25.760	Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina
cardiac	ACS	I25.790	Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris
cardiac	chest_pa	R07.89	Other chest pain
cardiac	chest_pa	R07.9	Chest pain, unspecified
cardiac	chf	A36.81	Diphtheritic cardiomyopathy
cardiac	chf	B33.24	Viral cardiomyopathy
cardiac	chf	I05.0	Rheumatic mitral stenosis
cardiac	chf	I05.1	Rheumatic mitral insufficiency
cardiac	chf	I05.2	Rheumatic mitral stenosis with insufficiency
cardiac	chf	I05.8	Other rheumatic mitral valve diseases
cardiac	chf	I05.9	Rheumatic mitral valve disease, unspecified
cardiac	chf	I06.0	Rheumatic aortic stenosis
cardiac	chf	I06.1	Rheumatic aortic insufficiency
cardiac	chf	I06.2	Rheumatic aortic stenosis with insufficiency
cardiac	chf	I06.8	Other rheumatic aortic valve diseases
cardiac	chf	I06.9	Rheumatic aortic valve disease, unspecified
cardiac	chf	I07.0	Rheumatic tricuspid stenosis
cardiac	chf	I07.1	Rheumatic tricuspid insufficiency
cardiac	chf	I07.2	Rheumatic tricuspid stenosis and insufficiency
cardiac	chf	I07.8	Other rheumatic tricuspid valve diseases
cardiac	chf	I07.9	Rheumatic tricuspid valve disease, unspecified
cardiac	chf	I08.0	Rheumatic disorders of both mitral and aortic valves
cardiac	chf	I08.1	Rheumatic disorders of both mitral and tricuspid valves
cardiac	chf	I08.2	Rheumatic disorders of both aortic and tricuspid valves
cardiac	chf	I08.3	Combined rheumatic disorders of mitral, aortic and tricuspid valves
cardiac	chf	I08.8	Other rheumatic multiple valve diseases
cardiac	chf	I08.9	Rheumatic multiple valve disease, unspecified
cardiac	chf	I09.1	Rheumatic diseases of endocardium, valve unspecified
cardiac	chf	I09.81	Rheumatic heart failure
cardiac	chf	I11.0	Hypertensive heart disease with heart failure
cardiac	chf	I13.0	Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
cardiac	chf	I13.2	Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
cardiac	chf	I25.5	Ischemic cardiomyopathy
cardiac	chf	I26.01	Septic pulmonary embolism with acute cor pulmonale
cardiac	chf	I26.02	Saddle embolus of pulmonary artery with acute cor pulmonale
cardiac	chf	I26.09	Other pulmonary embolism with acute cor pulmonale
cardiac	chf	I27.0	Primary pulmonary hypertension
cardiac	chf	I27.2	Other Secondary Pulmonary Hypertension
cardiac	chf	I27.20	Pulmonary hypertension, unspecified
cardiac	chf	I27.21	Secondary pulmonary arterial hypertension
cardiac	chf	I27.22	Pulmonary hypertension due to left heart disease
cardiac	chf	I27.23	Pulmonary hypertension due to lung diseases and hypoxia
cardiac	chf	I27.24	Chronic thromboembolic pulmonary hypertension
cardiac	chf	I27.29	Other secondary pulmonary hypertension
cardiac	chf	I27.81	Cor pulmonale (chronic)
cardiac	chf	I27.83	Eisenmenger's syndrome
cardiac	chf	I27.89	Other specified pulmonary heart diseases
cardiac	chf	I27.9	Pulmonary heart disease, unspecified
cardiac	chf	I28.0	Arteriovenous fistula of pulmonary vessels
cardiac	chf	I34.0	Nonrheumatic mitral (valve) insufficiency
cardiac	chf	I34.1	Nonrheumatic mitral (valve) prolapse
cardiac	chf	I34.2	Nonrheumatic mitral (valve) stenosis
cardiac	chf	I34.8	Other nonrheumatic mitral valve disorders
cardiac	chf	I34.81	Nonrheumatic mitral (valve) annulus calcification
cardiac	chf	I34.89	Other nonrheumatic mitral valve disorders
cardiac	chf	I34.9	Nonrheumatic mitral valve disorder, unspecified
cardiac	chf	I35.0	Nonrheumatic aortic (valve) stenosis
cardiac	chf	I35.1	Nonrheumatic aortic (valve) insufficiency
cardiac	chf	I35.2	Nonrheumatic aortic (valve) stenosis with insufficiency
cardiac	chf	I35.8	Other nonrheumatic aortic valve disorders
cardiac	chf	I35.9	Nonrheumatic aortic valve disorder, unspecified
cardiac	chf	I36.0	Nonrheumatic tricuspid (valve) stenosis
cardiac	chf	I36.1	Nonrheumatic tricuspid (valve) insufficiency
cardiac	chf	I36.2	Nonrheumatic tricuspid (valve) stenosis with insufficiency
cardiac	chf	I36.8	Other nonrheumatic tricuspid valve disorders
cardiac	chf	I36.9	Nonrheumatic tricuspid valve disorder, unspecified
cardiac	chf	I37.0	Nonrheumatic pulmonary valve stenosis
cardiac	chf	I37.1	Nonrheumatic pulmonary valve insufficiency
cardiac	chf	I37.2	Nonrheumatic pulmonary valve stenosis with insufficiency
cardiac	chf	I37.8	Other nonrheumatic pulmonary valve disorders
cardiac	chf	I37.9	Nonrheumatic pulmonary valve disorder, unspecified
cardiac	chf	I39.	Endocarditis and heart valve disorders in diseases classified elsewhere
cardiac	chf	I42.0	Dilated cardiomyopathy
cardiac	chf	I42.1	Obstructive hypertrophic cardiomyopathy
cardiac	chf	I42.2	Other hypertrophic cardiomyopathy
cardiac	chf	I42.3	Endomyocardial (eosinophilic) disease
cardiac	chf	I42.4	Endocardial fibroelastosis
cardiac	chf	I42.5	Other restrictive cardiomyopathy
cardiac	chf	I42.6	Alcoholic cardiomyopathy
cardiac	chf	I42.8	Other cardiomyopathies
cardiac	chf	I42.9	Cardiomyopathy, unspecified
cardiac	chf	I43.	Cardiomyopathy in diseases classified elsewhere
cardiac	chf	I50.1	Left ventricular failure, unspecified
cardiac	chf	I50.1	LEFT VENTRICULAR FAILURE
cardiac	chf	I50.20	Unspecified systolic (congestive) heart failure
cardiac	chf	I50.21	Acute systolic (congestive) heart failure
cardiac	chf	I50.22	Chronic systolic (congestive) heart failure
cardiac	chf	I50.23	Acute on chronic systolic (congestive) heart failure
cardiac	chf	I50.30	Unspecified diastolic (congestive) heart failure
cardiac	chf	I50.31	Acute diastolic (congestive) heart failure
cardiac	chf	I50.32	Chronic diastolic (congestive) heart failure
cardiac	chf	I50.33	Acute on chronic diastolic (congestive) heart failure
cardiac	chf	I50.40	Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
cardiac	chf	I50.41	Acute combined systolic (congestive) and diastolic (congestive) heart failure
cardiac	chf	I50.42	Chronic combined systolic (congestive) and diastolic (congestive) heart failure
cardiac	chf	I50.43	Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
cardiac	chf	I50.810	Right heart failure, unspecified
cardiac	chf	I50.811	Acute right heart failure
cardiac	chf	I50.812	Chronic right heart failure
cardiac	chf	I50.813	Acute on chronic right heart failure
cardiac	chf	I50.814	Right heart failure due to left heart failure
cardiac	chf	I50.82	Biventricular heart failure
cardiac	chf	I50.83	High output heart failure
cardiac	chf	I50.84	End stage heart failure
cardiac	chf	I50.89	Other heart failure
cardiac	chf	I50.9	Heart failure, unspecified
cardiac	chf	I51.0	Cardiac septal defect, acquired
cardiac	chf	I51.1	Rupture of chordae tendineae, not elsewhere classified
cardiac	chf	I51.2	Rupture of papillary muscle, not elsewhere classified
cardiac	chf	I51.5	Myocardial degeneration
cardiac	chf	I51.7	Cardiomegaly
cardiac	chf	I51.81	Takotsubo syndrome
cardiac	chf	I97.130	Postprocedural heart failure following cardiac surgery
cardiac	chf	I97.131	Postprocedural heart failure following other surgery
cardiac	chf	Z95.2	Presence of prosthetic heart valve
cardiac	chf	Z95.3	Presence of xenogenic heart valve
cardiac	chf	Z95.4	Presence of other heart-valve replacement
cardiac	chf	Z95.811	Presence of heart assist device
cardiac	chf	Z95.812	Presence of fully implantable artificial heart
cardiac	cvd	I20.1	Angina pectoris with documented spasm
cardiac	cvd	I20.8	Other forms of angina pectoris
cardiac	cvd	I20.9	Angina pectoris, unspecified
cardiac	cvd	I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris
cardiac	cvd	I25.110	Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
cardiac	cvd	I25.111	Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm
cardiac	cvd	I25.118	Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris
cardiac	cvd	I25.119	Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
cardiac	cvd	I25.2	Old myocardial infarction
cardiac	cvd	I25.3	Aneurysm of heart
cardiac	cvd	I25.41	Coronary artery aneurysm
cardiac	cvd	I25.42	Coronary artery dissection
cardiac	cvd	I25.5	Ischemic cardiomyopathy
cardiac	cvd	I25.6	Silent myocardial ischemia
cardiac	cvd	I25.700	Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris
cardiac	cvd	I25.701	Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm
cardiac	cvd	I25.708	Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris
cardiac	cvd	I25.709	Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris
cardiac	cvd	I25.710	Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
cardiac	cvd	I25.711	Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm
